Mã Sản Phẩm,Mã Chi Nhánh,Chi Nhánh,Khu Vực,Tên Sản Phẩm,Tồn Kho Hiện Tại,Trung Bình daily_demand,Forecast Demand 30d,Tồn Kho An Toàn,Điểm Đặt Hàng Lại,Eoq,Expected Stock After 30d,Action,Priority,Quantity Needed,Unit
10.L1.3060.5058.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5058 Loại 1,2128,0.7093333333333334,21.28,0.9260787105954484,5.891412043928782,101.76574407268228,2106.72,SURPLUS,LOW,0.0,Viên
10.L1.3060.5067.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5067 Loại 1,1062,0.35400000000000004,10.619999999999996,0.46216898056972094,2.9401689805697213,71.89158504303546,1051.38,SURPLUS,LOW,0.0,Viên
10.L1.3060.5068.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5068 Loại 1,168,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,165.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.5069.9,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5069 Loại 1,614,0.2046666666666667,6.139999999999999,0.267205041496995,1.6998717081636618,54.66382106414931,607.86,SURPLUS,LOW,0.0,Viên
10.L1.3060.5071.1,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5071 Loại 1,700,0.23333333333333334,7.0,0.3046311548011343,1.9379644881344675,58.36665714829544,693.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.5071.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5071 Loại 1,1402,0.4673333333333333,14.019999999999994,0.6101326843302719,3.8814660176636053,82.60185631489566,1387.98,SURPLUS,LOW,0.0,Viên
10.L1.3060.5071.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5071 Loại 1,1086,0.362,10.86,0.47261347730575975,3.0066134773057596,72.69938101524662,1075.14,SURPLUS,LOW,0.0,Viên
10.L1.3060.5072.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5072 Loại 1,56,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,53.0,OK,LOW,0.0,Viên
10.L1.3060.5072.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5072 Loại 1,259,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,256.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.5073.2,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5073 Loại 1,312,0.10400000000000001,3.120000000000001,0.1357784575685056,0.8637784575685057,38.966652409464174,308.88,SURPLUS,LOW,0.0,Viên
10.L1.3060.5073.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5073 Loại 1,1049,0.3496666666666667,10.489999999999995,0.4565115448376999,2.9041782115043664,71.45021576827696,1038.51,SURPLUS,LOW,0.0,Viên
