product_code,product_name,category,f_sku,spec_code_size,unit
10.L1.5050.5316.6,Gạch 50x50 MS 5316 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050,Viên
20.L1.6060.36003.4,Gạch 60x60 MS 36003 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
36.L1.3060.USC3634.1,Gạch 30x60 MS USC3634 Loại 1,F_Bộ,USC3633-USC3633D-USC3634,3060,Viên
36.L1.3060.USC3635.1,Gạch 30x60 MS USC3635 Loại 1,F_Bộ,USC3635-USC3635D-USC3636,3060,Viên
36.L1.3060.USC3604.2,Gạch 30x60 MS USC3604 Loại 1,F_Bộ,USC3604-USC3604D-USC3604V,3060,Viên
20.L1.6060.16903.4,Gạch 60x60 MS 16903 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.6060.74005.5,Gạch 60x60 MS 74005 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
29.L1.4060.FXU46003.01,Gạch 40x60 MS FXU46003 Loại 1,F_Solo,Solo4060.CeramicMatt/ Sugar,4060,Viên
10.L1.6060.6157.7,Gạch 60x60 MS 6157 loại 1,F_Solo,Solo6060.CeramicBóng,6060,Viên
36.L1.3060.USC3601D.1,Gạch 30x60 MS USC3601D Loại 1,F_Bộ,USC3601-USC3601D-USC3601V,3060,Viên
20.L1.8080.91859.5,Gạch 80x80 MS 91859 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
20.L1.8080.18129.4,Gạch 80x80 MS 18129 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
20.L1.5050.91503.5,Gạch 50x50 MS 91503 loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
20.L1.5050.91505.5,Gạch 50x50 MS 91505 loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
36.L1.3060.USC3603V.1,Gạch 30x60 MS USC3603V Loại 1,F_Bộ,USC3603-USC3603D-USC3603V,3060,Viên
36.L1.3060.USC3602.1,Gạch 30x60 MS USC3602 Loại 1,F_Bộ,USC3602-USC3602D-USC3602V,3060,Viên
36.L1.3060.USC3602V.1,Gạch 30x60 MS USC3602V Loại 1,F_Bộ,USC3602-USC3602D-USC3602V,3060,Viên
14.L1.3060.A36822D.9,Gạch 30x60 MS A36822D Loại 1,F_Bộ,36922-36822D-36822,3060,Viên
14.L1.3060.A36922.9,Gạch 30x60 MS A36922 Loại 1,F_Bộ,36922-36822D-36822,3060,Viên
36.L1.3060.USC3623D.1,Gạch 30x60 MS USC3623D Loại 1,F_Bộ,USC3623-USC3623D-USC3624,3060,Viên
36.L1.3060.USC3627.1,Gạch 30x60 MS USC3627 Loại 1,F_Bộ,USC3627-USC3627D-USC3628,3060,Viên
29.L1.3060.FC3638.01,Gạch 30x60 MS FC3638 Loại 1,F_Bộ,FC3638-FC3638D-FC3639,3060,Viên
29.L1.3060.FC3639.01,Gạch 30x60 MS FC3639 Loại 1,F_Bộ,FC3638-FC3638D-FC3639,3060,Viên
36.L1.3060.USC3624.1,Gạch 30x60 MS USC3624 Loại 1,F_Bộ,USC3623-USC3623D-USC3624,3060,Viên
20.L1.5050.91507.5,Gạch 50x50 MS 91507 loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
